dataset,class,side_observation_count,exactly_3000_observations,cap_active_observations,unique_representation_count,exactly_3000_unique_representations,cap_active_unique_representations,candidate_before_cap_mean,candidate_before_cap_median,candidate_before_cap_p5,candidate_before_cap_p95,candidate_to_final_ratio_mean,candidate_to_final_ratio_median,candidate_to_final_ratio_p5,candidate_to_final_ratio_p95,rank_window_2990_3010_available_points_total,cutoff_response_2990,cutoff_response_3000,cutoff_response_3010,cutoff_response_note,pre_cap_scale_source,pre_cap_proxy_scale_0_count,pre_cap_proxy_scale_0_fraction,final_scale_0_count,final_scale_0_fraction,pre_cap_proxy_scale_1_count,pre_cap_proxy_scale_1_fraction,final_scale_1_count,final_scale_1_fraction,pre_cap_proxy_scale_2_count,pre_cap_proxy_scale_2_fraction,final_scale_2_count,final_scale_2_fraction,pre_cap_proxy_scale_3_count,pre_cap_proxy_scale_3_fraction,final_scale_3_count,final_scale_3_fraction,pre_cap_proxy_scale_4_count,pre_cap_proxy_scale_4_fraction,final_scale_4_count,final_scale_4_fraction
sd300b,plain_self,1000,996,996,500,498,498,12426.57,10317.5,5350.3,27015.199999999993,4.143202666666666,3.439166666666667,1.7834333333333334,9.005066666666664,20916,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,7160800,0.43910475317036846,1856468,0.6194499629958605,4821282,0.29564404013165296,353638,0.11799882681195158,2226922,0.1365562556054719,512788,0.17110260323621054,1359042,0.08333730895405037,197082,0.06576059356107952,739680,0.04535764213845633,76986,0.025688013394897898
sd300b,roll_self,1000,1000,1000,500,500,500,36882.964,36783.0,26979.65,46945.39999999999,12.294321333333333,12.261,8.993216666666667,15.648466666666662,21000,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,21726422,0.452477705711434,2212298,0.7374326666666666,14205732,0.2958506938377382,279248,0.09308266666666666,6219274,0.12952352811294804,327214,0.10907133333333334,3826712,0.07969567497945187,121780,0.040593333333333335,2038418,0.0424523973584279,59460,0.01982
sd300b,genuine,1000,998,998,1000,998,998,24654.767,26996.0,6232.2,44190.3,8.218762,8.998666666666667,2.0774000000000004,14.7301,20958,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,14443611,0.44908734623458846,2034383,0.6784711992505539,9513507,0.2957983022399441,316443,0.1055344356025601,4223098,0.13130649071818662,420001,0.14007125607932816,2592877,0.0806189152451351,159431,0.05317058870808253,1389049,0.043188945562145704,68223,0.022752520359475347
sd300b,negative,1000,998,998,1000,998,998,24654.767,26996.0,6232.2,44190.3,8.218761999999998,8.998666666666667,2.0774000000000004,14.7301,20958,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,14443611,0.44908734623458846,2034383,0.6784711992505539,9513507,0.2957983022399441,316443,0.1055344356025601,4223098,0.13130649071818662,420001,0.14007125607932816,2592877,0.0806189152451351,159431,0.05317058870808253,1389049,0.043188945562145704,68223,0.022752520359475347
sd300c,plain_self,1000,1000,1000,500,500,500,39894.284,31456.0,15387.85,96657.24999999997,13.298094666666666,10.485333333333333,5.129283333333333,32.21908333333332,21000,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,22301016,0.42397504235374744,1344134,0.44804466666666665,15119796,0.28744951124558726,507844,0.16928133333333334,7410566,0.14088573514835562,702618,0.234206,4928418,0.09369645895446967,315804,0.105268,2840036,0.053993252297840036,129600,0.0432
sd300c,roll_self,1000,1000,1000,500,500,500,132612.164,131551.0,97407.8,169391.5,44.20405466666667,43.85033333333333,32.46926666666667,56.46383333333333,21000,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,78374550,0.4483180708301887,2319468,0.773156,51504702,0.2946171766131195,192194,0.06406466666666667,22403920,0.12815489458547297,304610,0.10153666666666666,14383558,0.08227682295125302,117760,0.039253333333333335,8152344,0.046633035019965845,65968,0.021989333333333333
sd300c,genuine,1000,1000,1000,1000,1000,1000,86253.224,97242.0,18140.85,159005.5,28.751074666666668,32.414,6.04695,53.00183333333332,21000,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,50337783,0.4426877596535444,1831801,0.6106003333333333,33312249,0.29295936372150166,350019,0.116673,14907243,0.13109941703791328,503614,0.16787133333333334,9655988,0.08491807624824296,216782,0.07226066666666667,5496190,0.0483353833387977,97784,0.03259466666666667
sd300c,negative,1000,1000,1000,1000,1000,1000,86253.224,97242.0,18140.85,159005.5,28.751074666666668,32.414,6.04695,53.00183333333332,21000,unavailable,unavailable,unavailable,Candidate responses/order were not serialized in frozen diagnostics.,candidates_after_eigen_ratio proxy; exact post-duplicate per-scale input was not serialized,50337783,0.4426877596535444,1831801,0.6106003333333333,33312249,0.29295936372150166,350019,0.116673,14907243,0.13109941703791328,503614,0.16787133333333334,9655988,0.08491807624824296,216782,0.07226066666666667,5496190,0.0483353833387977,97784,0.03259466666666667
