dataset,subject_id,canonical_finger_position,harrisz_descriptors_a,harrisz_descriptors_b,sift_descriptors_a,sift_descriptors_b,harrisz_mutual_matches,sift_mutual_matches,harrisz_ransac_inputs,sift_ransac_inputs,harrisz_inliers,sift_inliers
sd300b,00001038,3,3000,3000,3001,3001,2,1,2,1,0,0
sd300b,00001038,4,3000,3000,2889,3000,2,1,2,1,0,0
sd300b,00001038,5,3000,3000,2129,3000,2,5,2,5,0,3
sd300b,00001038,6,3000,3000,3000,3001,3,14,3,14,2,4
sd300b,00001038,7,3000,3000,3001,3000,5,0,5,0,2,0
sd300b,00001038,8,3000,3000,3000,3000,4,2,4,2,2,0
sd300b,00001038,9,3000,3000,3000,3000,4,2,4,2,2,0
sd300b,00001038,10,3000,3000,2734,3000,3,2,3,2,2,0
sd300b,00001039,1,3000,3000,3000,3001,8,19,8,19,2,7
sd300b,00001039,2,3000,3000,3000,3000,8,5,8,5,3,3
sd300b,00001039,3,3000,3000,3001,3000,6,25,6,25,2,15
sd300b,00001039,4,3000,3000,3001,3000,12,26,12,26,6,12
sd300b,00001039,5,3000,3000,3000,3000,7,3,7,3,3,2
sd300b,00001039,6,3000,3000,3001,3001,13,28,13,28,4,15
sd300b,00001039,7,3000,3000,2797,3000,7,7,7,7,2,3
sd300b,00001039,8,3000,3000,3000,3000,3,4,3,4,2,2
sd300b,00001039,9,3000,3000,3000,3000,3,11,3,11,2,5
sd300b,00001039,10,3000,3000,3000,3001,2,1,2,1,0,0
sd300b,00001040,1,3000,3000,3000,3000,4,4,4,4,2,2
sd300b,00001040,3,3000,3000,2263,3000,5,5,5,5,2,3
sd300b,00001040,4,3000,3000,1180,3001,4,1,4,1,2,0
sd300b,00001040,6,3000,3000,3000,3000,7,20,7,20,2,13
sd300b,00001040,7,3000,3000,1693,3000,1,2,1,2,0,0
sd300b,00001040,8,3000,3000,3000,3000,2,14,2,14,0,9
sd300b,00001040,9,3000,3000,1871,3002,2,7,2,7,0,3
sd300b,00001041,1,3000,3000,3000,3000,9,23,9,23,3,7
sd300b,00001041,2,3000,3000,3000,3000,15,38,15,38,4,20
sd300b,00001041,3,3000,3000,3000,3000,6,16,6,16,2,7
sd300b,00001041,4,3000,3000,3001,3001,7,10,7,10,2,5
sd300b,00001041,5,3000,3000,3000,3000,13,29,13,29,4,14
sd300b,00001041,6,3000,3000,3001,3001,1,6,1,6,0,4
sd300b,00001041,7,3000,3000,3000,3001,7,40,7,40,2,20
sd300b,00001041,8,3000,3000,3001,3000,7,10,7,10,2,9
sd300b,00001041,9,3000,3000,3000,3000,8,12,8,12,2,7
sd300b,00001041,10,3000,3000,2301,3000,2,1,2,1,0,0
sd300b,00001042,1,3000,3000,3000,3001,12,32,12,32,3,9
sd300b,00001042,2,3000,3000,3002,3000,6,12,6,12,2,6
sd300b,00001042,3,3000,3000,3000,3001,16,50,16,50,12,47
sd300b,00001042,4,3000,3000,2488,3000,3,7,3,7,2,5
sd300b,00001042,5,3000,3000,1184,3001,10,19,10,19,7,11
sd300b,00001042,6,3000,3000,3000,3000,10,55,10,55,6,48
sd300b,00001042,7,3000,3000,3001,3000,20,52,20,52,10,28
sd300b,00001042,8,3000,3000,2949,3000,27,78,27,78,12,40
sd300b,00001042,9,3000,3000,3000,3000,19,109,19,109,11,65
sd300b,00001042,10,3000,3000,921,3001,16,27,16,27,7,17
sd300b,00001043,1,3000,3000,3000,3000,8,30,8,30,2,8
sd300b,00001043,2,3000,3000,3000,3001,8,17,8,17,4,5
sd300b,00001043,3,3000,3000,3000,3001,9,10,9,10,4,6
sd300b,00001043,4,3000,3000,3000,3000,9,22,9,22,3,15
sd300b,00001043,5,3000,3000,3000,3001,7,8,7,8,2,5
sd300b,00001043,6,3000,3000,3000,3000,8,17,8,17,2,6
sd300b,00001043,7,3000,3000,3000,3000,3,10,3,10,2,6
sd300b,00001043,8,3000,3000,3000,3000,15,39,15,39,6,19
sd300b,00001043,9,3000,3000,3000,3000,6,14,6,14,2,4
sd300b,00001043,10,3000,3000,3000,3001,5,29,5,29,2,16
sd300b,00001044,1,3000,3000,3000,3000,9,15,9,15,3,9
sd300b,00001044,3,3000,3000,2483,3000,2,9,2,9,0,6
sd300b,00001044,4,3000,3000,1803,3000,4,10,4,10,2,6
sd300b,00001044,5,3000,3000,910,3000,5,5,5,5,3,4
sd300b,00001044,6,3000,3000,3001,3000,3,15,3,15,2,6
sd300b,00001044,7,3000,3000,1643,3000,2,1,2,1,0,0
sd300b,00001044,8,3000,3000,3000,3000,3,5,3,5,2,3
sd300b,00001044,10,3000,3000,934,3000,1,0,1,0,0,0
sd300b,00001045,1,3000,3000,3000,3000,11,18,11,18,4,7
sd300b,00001045,2,3000,3000,2654,3001,3,1,3,1,2,0
sd300b,00001045,3,3000,3000,3000,3001,4,5,4,5,2,2
sd300b,00001045,4,3000,3000,3001,3000,4,5,4,5,2,3
sd300b,00001045,5,3000,3000,1166,3000,2,1,2,1,0,0
sd300b,00001045,6,3000,3000,3000,3000,6,3,6,3,2,2
sd300b,00001045,7,3000,3000,3000,3001,5,10,5,10,2,4
sd300b,00001045,8,3000,3000,3000,3000,3,5,3,5,2,3
sd300b,00001045,9,3000,3000,3001,3000,4,8,4,8,2,4
sd300b,00001046,1,3000,3000,3001,3000,18,52,18,52,7,13
sd300b,00001046,2,3000,3000,3000,3000,3,8,3,8,2,2
sd300b,00001046,3,3000,3000,3000,3000,5,8,5,8,2,5
sd300b,00001046,4,3000,3000,3000,3000,4,7,4,7,2,3
sd300b,00001046,5,3000,3000,3001,3000,2,9,2,9,0,4
sd300b,00001046,6,3000,3000,3000,3000,4,11,4,11,2,3
sd300b,00001046,7,3000,3000,3000,3000,8,30,8,30,2,10
sd300b,00001046,8,3000,3000,3000,3000,6,9,6,9,2,7
sd300b,00001046,9,3000,3000,3000,3000,5,7,5,7,2,3
sd300b,00001046,10,3000,3000,3000,3000,8,9,8,9,2,4
sd300b,00001047,1,3000,3000,3000,3001,9,53,9,53,2,11
sd300b,00001047,3,3000,3000,3000,3000,7,15,7,15,2,5
sd300b,00001047,4,3000,3000,3000,3000,11,87,11,87,5,34
sd300b,00001047,5,3000,3000,3000,3000,4,7,4,7,2,4
sd300b,00001047,6,3000,3000,3000,3000,11,53,11,53,2,21
sd300b,00001047,7,3000,3000,3001,3000,7,14,7,14,4,7
sd300b,00001047,8,3000,3000,3000,3000,17,69,17,69,4,27
sd300b,00001047,9,3000,3000,3000,3000,10,36,10,36,4,17
sd300b,00001047,10,1980,3000,940,3000,2,0,2,0,0,0
sd300b,00001048,1,3000,3000,3001,3001,6,27,6,27,2,10
sd300b,00001048,2,3000,3000,3000,3000,5,37,5,37,2,12
sd300b,00001048,3,3000,3000,3000,3000,8,15,8,15,2,7
sd300b,00001048,4,3000,3000,3001,3001,15,51,15,51,6,29
sd300b,00001048,5,3000,3000,645,3001,3,0,3,0,2,0
sd300b,00001048,6,3000,3000,3000,3000,1,9,1,9,0,4
sd300b,00001048,7,3000,3000,3000,3001,13,32,13,32,5,20
sd300b,00001048,8,3000,3000,2652,3000,11,35,11,35,4,18
sd300b,00001048,9,3000,3000,3000,3000,5,11,5,11,2,5
sd300b,00001048,10,3000,3000,2847,3001,3,0,3,0,2,0
sd300b,00001049,1,3000,3000,3000,3000,4,2,4,2,2,0
sd300b,00001049,2,3000,3000,3000,3000,2,5,2,5,0,2
sd300b,00001049,3,3000,3000,3000,3000,1,2,1,2,0,0
sd300b,00001049,4,3000,3000,3000,3000,2,2,2,2,0,0
sd300b,00001049,5,3000,3000,3000,3001,3,0,3,0,2,0
sd300b,00001049,6,3000,3000,3000,3001,4,2,4,2,2,0
sd300b,00001049,7,3000,3000,3000,3000,5,3,5,3,2,3
sd300b,00001049,8,3000,3000,3000,3000,2,0,2,0,0,0
sd300b,00001049,9,3000,3000,3001,3000,5,1,5,1,2,0
sd300b,00001049,10,3000,3000,2206,3001,0,1,0,1,0,0
sd300b,00001050,1,3000,3000,3000,3000,7,13,7,13,2,8
sd300b,00001050,2,3000,3000,2091,3000,1,1,1,1,0,0
sd300b,00001050,3,3000,3000,1785,3000,5,2,5,2,3,0
sd300b,00001050,4,3000,3000,1683,3000,1,1,1,1,0,0
sd300b,00001050,5,3000,3000,445,3001,1,3,1,3,0,3
sd300b,00001050,6,3000,3000,2351,3002,6,16,6,16,2,12
sd300b,00001051,1,3000,3000,3000,3000,10,11,10,11,5,10
sd300b,00001051,4,3000,3000,1279,3000,1,1,1,1,0,0
sd300b,00001051,5,3000,3000,1202,3000,1,2,1,2,0,0
sd300b,00001051,6,3000,3000,3000,3000,10,16,10,16,9,12
sd300b,00001051,7,3000,3000,2846,3000,2,2,2,2,0,0
sd300b,00001051,8,3000,3000,3000,3000,3,1,3,1,2,0
sd300b,00001051,9,3000,3000,3001,3000,5,7,5,7,2,3
sd300b,00001051,10,3000,3000,2057,3000,4,1,4,1,2,0
sd300b,00001052,1,3000,3000,3001,3001,6,6,6,6,2,4
sd300c,00001000,1,3000,3000,3000,3000,11,4,11,4,2,2
sd300c,00001000,2,3000,3000,3001,3001,7,4,7,4,2,2
sd300c,00001000,3,3000,3000,3001,3000,8,32,8,32,2,18
sd300c,00001000,4,3000,3000,3000,3000,5,13,5,13,2,6
sd300c,00001000,5,3000,3000,3000,3001,8,6,8,6,2,2
sd300c,00001000,6,3000,3000,3000,3000,3,3,3,3,2,2
sd300c,00001000,7,3000,3000,3000,3000,10,7,10,7,2,2
sd300c,00001000,8,3000,3000,3000,3000,4,4,4,4,2,3
sd300c,00001000,9,3000,3000,3000,3000,4,6,4,6,2,4
sd300c,00001000,10,3000,3000,3000,3000,3,4,3,4,2,2
sd300c,00001001,2,3000,3000,3001,3001,1,5,1,5,0,2
sd300c,00001001,3,3000,3000,3001,3001,4,3,4,3,2,2
sd300c,00001001,4,3000,3000,3000,3000,3,4,3,4,2,4
sd300c,00001001,5,3000,3000,3000,3000,4,11,4,11,2,5
sd300c,00001001,7,3000,3000,3000,3000,5,24,5,24,3,8
sd300c,00001001,8,3000,3000,3001,3000,3,52,3,52,2,37
sd300c,00001001,9,3000,3000,3000,3001,6,15,6,15,2,8
sd300c,00001001,10,3000,3000,3000,3000,2,7,2,7,0,3
sd300c,00001002,1,3000,3000,3000,3000,2,24,2,24,0,11
sd300c,00001002,2,3000,3000,3000,3001,2,1,2,1,0,0
sd300c,00001002,3,3000,3000,3001,3000,1,5,1,5,0,4
sd300c,00001002,4,3000,3000,1989,3000,0,10,0,10,0,5
sd300c,00001002,5,3000,3000,1882,3001,2,24,2,24,0,16
sd300c,00001002,6,3000,3000,3000,3000,4,30,4,30,2,11
sd300c,00001002,7,3000,3000,3001,3000,1,2,1,2,0,0
sd300c,00001002,8,3000,3000,3000,3000,4,14,4,14,2,10
sd300c,00001002,9,3000,3000,3000,2052,2,6,2,6,0,4
sd300c,00001002,10,3000,3000,3000,1811,2,8,2,8,0,4
sd300c,00001003,1,3000,3000,3000,3000,6,52,6,52,2,24
sd300c,00001003,2,3000,3000,3000,3000,6,3,6,3,2,2
sd300c,00001003,3,3000,3000,3001,3000,2,4,2,4,0,3
sd300c,00001003,4,3000,3000,3001,3001,5,1,5,1,2,0
sd300c,00001003,5,3000,3000,3000,3000,4,5,4,5,2,3
sd300c,00001003,6,3000,3000,3000,3000,9,55,9,55,2,24
sd300c,00001003,7,3000,3000,3000,3000,6,1,6,1,2,0
sd300c,00001003,8,3000,3000,3000,3000,8,4,8,4,2,2
sd300c,00001003,9,3000,3000,3000,3000,2,1,2,1,0,0
sd300c,00001003,10,3000,3000,3000,3001,3,0,3,0,2,0
sd300c,00001004,1,3000,3000,3000,3000,7,15,7,15,2,9
sd300c,00001004,2,3000,3000,3000,3000,0,7,0,7,0,2
sd300c,00001004,3,3000,3000,3000,3000,0,2,0,2,0,0
sd300c,00001004,4,3000,3000,3000,3001,1,2,1,2,0,0
sd300c,00001004,5,3000,3000,2377,3000,2,2,2,2,0,0
sd300c,00001004,6,3000,3000,3000,3000,0,13,0,13,0,9
sd300c,00001004,7,3000,3000,2269,3000,4,2,4,2,2,0
sd300c,00001004,8,3000,3000,3000,3000,3,5,3,5,2,5
sd300c,00001004,9,3000,3000,3001,3000,4,3,4,3,2,2
sd300c,00001004,10,3000,3000,1698,3000,0,0,0,0,0,0
sd300c,00001005,1,3000,3000,2623,1765,2,26,2,26,0,6
sd300c,00001005,4,3000,3000,3001,3000,5,8,5,8,2,3
sd300c,00001005,5,3000,3000,3000,3000,1,9,1,9,0,3
sd300c,00001005,6,3000,3000,3000,3001,4,39,4,39,2,12
sd300c,00001005,7,3000,3000,3000,3001,3,11,3,11,2,4
sd300c,00001005,8,3000,3000,3000,3000,3,3,3,3,2,2
sd300c,00001005,9,3000,3000,3000,3001,3,38,3,38,2,15
sd300c,00001005,10,3000,3000,3001,3001,1,0,1,0,0,0
sd300c,00001006,1,3000,3000,3000,3000,5,38,5,38,2,12
sd300c,00001006,2,3000,3000,3000,3000,3,25,3,25,2,9
sd300c,00001006,3,3000,3000,3000,3000,6,82,6,82,2,24
sd300c,00001006,4,3000,3000,3000,3000,5,19,5,19,2,8
sd300c,00001006,5,3000,3000,3000,3000,8,13,8,13,2,8
sd300c,00001006,6,3000,3000,3000,3001,7,44,7,44,2,13
sd300c,00001006,7,3000,3000,3001,3001,5,20,5,20,2,10
sd300c,00001006,8,3000,3000,3000,3000,2,23,2,23,0,8
sd300c,00001006,9,3000,3000,3000,3000,7,48,7,48,3,18
sd300c,00001006,10,3000,3000,2633,3000,1,3,1,3,0,2
sd300c,00001007,1,3000,3000,3000,3000,10,20,10,20,2,5
sd300c,00001007,2,3000,3000,3001,3000,5,3,5,3,2,2
sd300c,00001007,3,3000,3000,3000,3001,2,2,2,2,0,0
sd300c,00001007,4,3000,3000,1843,3000,0,2,0,2,0,0
sd300c,00001007,5,3000,3000,2679,3000,1,1,1,1,0,0
sd300c,00001007,6,3000,3000,3001,3000,2,17,2,17,0,5
sd300c,00001007,7,3000,3000,3000,3000,2,0,2,0,0,0
sd300c,00001007,8,3000,3000,2527,3001,4,3,4,3,2,2
sd300c,00001007,9,3000,3000,2153,3000,0,0,0,0,0,0
sd300c,00001007,10,3000,3000,1900,3000,3,3,3,3,2,2
sd300c,00001008,1,3000,3000,3000,3000,8,33,8,33,2,13
sd300c,00001008,2,3000,3000,3000,3000,6,14,6,14,2,7
sd300c,00001008,3,3000,3000,3000,3000,6,27,6,27,2,12
sd300c,00001008,4,3000,3000,3000,3001,3,23,3,23,2,14
sd300c,00001008,5,3000,3000,3000,3000,5,4,5,4,2,3
sd300c,00001008,6,3000,3000,3001,3000,2,33,2,33,0,12
sd300c,00001008,7,3000,3000,3000,3001,3,19,3,19,2,10
sd300c,00001008,8,3000,3000,3000,3000,5,9,5,9,2,3
sd300c,00001008,9,3000,3000,3000,3000,3,1,3,1,2,0
sd300c,00001008,10,3000,3000,3000,3000,5,5,5,5,2,2
sd300c,00001009,1,3000,3000,3000,3000,4,42,4,42,2,24
sd300c,00001009,2,3000,3000,3000,3000,2,4,2,4,0,4
sd300c,00001009,3,3000,3000,3000,3000,1,28,1,28,0,7
sd300c,00001009,4,3000,3000,3002,3000,2,55,2,55,0,21
sd300c,00001009,5,3000,3000,2642,3000,3,3,3,3,2,2
sd300c,00001009,6,3000,3000,3000,3000,8,22,8,22,2,14
sd300c,00001009,7,3000,3000,3000,3000,9,19,9,19,2,12
sd300c,00001009,8,3000,3000,3000,3001,6,21,6,21,2,8
sd300c,00001009,9,3000,3000,3000,3000,7,16,7,16,2,7
sd300c,00001009,10,3000,3000,3001,3000,2,3,2,3,0,2
sd300c,00001010,1,3000,3000,3000,3001,6,17,6,17,2,12
sd300c,00001010,2,3000,3000,3000,3000,6,21,6,21,2,7
sd300c,00001010,3,3000,3000,3000,3001,6,72,6,72,2,19
sd300c,00001010,4,3000,3000,3000,3000,9,67,9,67,2,21
sd300c,00001010,5,3000,3000,3000,3000,4,24,4,24,2,13
sd300c,00001010,6,3000,3000,3001,3001,6,32,6,32,2,10
sd300c,00001010,7,3000,3000,3000,3000,5,5,5,5,2,4
sd300c,00001010,8,3000,3000,3000,3000,3,29,3,29,2,14
sd300c,00001010,9,3000,3000,3000,3000,6,9,6,9,2,4
sd300c,00001010,10,3000,3000,1079,3001,1,4,1,4,0,2
sd300c,00001011,1,3000,3000,3000,3001,10,33,10,33,2,9
sd300c,00001011,2,3000,3000,3000,3000,6,43,6,43,2,22
sd300c,00001011,3,3000,3000,3000,3001,8,31,8,31,2,10
sd300c,00001011,4,3000,3000,3000,3001,14,35,14,35,2,22
sd300c,00001011,5,3000,3000,3001,3000,7,5,7,5,2,2
sd300c,00001011,6,3000,3000,3000,3000,4,66,4,66,2,21
sd300c,00001011,7,3000,3000,3000,3000,2,77,2,77,0,28
sd300c,00001011,8,3000,3000,3000,3000,7,16,7,16,2,7
sd300c,00001011,9,3000,3000,3001,3000,4,14,4,14,2,6
sd300c,00001011,10,3000,3000,3000,3000,4,16,4,16,2,8
sd300c,00001012,1,3000,3000,3000,3000,6,37,6,37,2,18
sd300c,00001012,2,3000,3000,3000,3001,5,23,5,23,2,13
sd300c,00001012,3,3000,3000,3001,3000,9,31,9,31,2,9
sd300c,00001012,4,3000,3000,3000,3000,4,37,4,37,2,18
sd300c,00001012,5,3000,3000,3000,3001,4,25,4,25,2,14
sd300c,00001012,6,3000,3000,3000,3001,5,12,5,12,2,4
sd300c,00001012,7,3000,3000,3000,3001,1,19,1,19,0,7
sd300c,00001012,8,3000,3000,3001,3001,3,7,3,7,2,2
sd300c,00001012,9,3000,3000,3000,3000,6,33,6,33,2,17
sd300c,00001012,10,3000,3000,3001,3000,1,3,1,3,0,2
sd300c,00001013,1,3000,3000,3000,3001,9,21,9,21,2,15
sd300c,00001013,2,3000,3000,3000,3000,2,17,2,17,0,14
sd300c,00001013,3,3000,3000,3000,3000,5,15,5,15,3,6
sd300c,00001013,4,3000,3000,3000,3000,4,17,4,17,2,8
sd300c,00001013,5,3000,3000,3000,3000,1,5,1,5,0,2
sd300c,00001013,6,3000,3000,3000,3000,3,5,3,5,2,2
sd300c,00001013,7,3000,3000,3000,3000,3,15,3,15,2,7
sd300c,00001013,8,3000,3000,3000,3000,1,3,1,3,0,2
sd300c,00001013,9,3000,3000,3000,3001,4,28,4,28,2,9
sd300c,00001013,10,3000,3000,2802,3000,4,6,4,6,2,2
sd300c,00001014,1,3000,3000,3000,3000,4,15,4,15,2,6
sd300c,00001014,2,3000,3000,3000,3001,5,16,5,16,2,13
sd300c,00001014,3,3000,3000,3000,3001,3,43,3,43,2,22
sd300c,00001014,4,3000,3000,3000,3000,6,42,6,42,2,23
sd300c,00001014,5,3000,3000,3000,3002,4,18,4,18,2,7
sd300c,00001014,6,3000,3000,3001,3000,5,70,5,70,2,32
sd300c,00001014,7,3000,3000,3000,3000,5,15,5,15,2,9
sd300c,00001014,8,3000,3000,3000,3000,4,24,4,24,2,15
sd300c,00001014,9,3000,3000,3000,3000,10,41,10,41,2,25
sd300c,00001014,10,3000,3000,3001,3001,5,1,5,1,2,0
sd300c,00001015,1,3000,3000,3000,3000,8,1,8,1,2,0
sd300c,00001015,2,3000,3000,3000,3000,4,1,4,1,2,0
sd300c,00001015,3,3000,3000,3000,3001,4,13,4,13,2,4
sd300c,00001015,4,3000,3000,3000,3000,4,15,4,15,2,5
sd300c,00001015,5,3000,3000,3000,3000,0,16,0,16,0,9
sd300c,00001015,6,3000,3000,3000,3000,0,6,0,6,0,3
sd300c,00001015,7,3000,3000,3001,3000,7,17,7,17,2,5
sd300c,00001015,8,3000,3000,3000,3001,5,2,5,2,2,0
sd300c,00001015,9,3000,3000,3000,3000,3,7,3,7,2,3
sd300c,00001015,10,3000,3000,3000,3000,2,3,2,3,0,2
sd300c,00001016,1,3000,3000,3000,3000,6,52,6,52,2,12
sd300c,00001016,2,3000,3000,3001,3000,11,84,11,84,2,34
sd300c,00001016,3,3000,3000,3000,3000,8,80,8,80,2,34
sd300c,00001016,4,3000,3000,3000,3001,8,62,8,62,2,15
sd300c,00001016,5,3000,3000,3000,3000,9,45,9,45,2,23
sd300c,00001016,6,3000,3000,3000,3000,15,66,15,66,2,18
sd300c,00001016,7,3000,3000,3000,3000,7,139,7,139,2,50
sd300c,00001016,8,3000,3000,3001,3001,4,11,4,11,2,6
sd300c,00001016,9,3000,3000,3000,3000,5,68,5,68,2,41
sd300c,00001016,10,3000,3000,3000,3000,9,22,9,22,2,7
sd300c,00001017,1,3000,3000,3001,3000,4,13,4,13,2,6
sd300c,00001017,2,3000,3000,3000,3001,1,4,1,4,0,3
sd300c,00001017,3,3000,3000,3000,3000,3,23,3,23,2,10
sd300c,00001017,4,3000,3000,3000,3000,2,15,2,15,0,8
sd300c,00001017,5,3000,3000,3000,3001,1,2,1,2,0,0
sd300c,00001017,6,3000,3000,3000,3000,1,26,1,26,0,13
sd300c,00001017,7,3000,3000,3000,3000,3,28,3,28,2,10
sd300c,00001017,8,3000,3000,3000,3000,7,19,7,19,2,9
sd300c,00001017,9,3000,3000,3001,3001,2,4,2,4,0,2
sd300c,00001017,10,3000,3000,3000,3000,2,5,2,5,0,4
sd300c,00001018,1,3000,3000,3000,3000,6,2,6,2,2,0
sd300c,00001018,2,3000,3000,3000,3000,6,1,6,1,2,0
sd300c,00001018,3,3000,3000,3000,3000,5,2,5,2,2,0
sd300c,00001018,4,3000,3000,3000,3000,8,9,8,9,2,3
sd300c,00001018,5,3000,3000,3000,3000,4,7,4,7,2,2
sd300c,00001018,6,3000,3000,3001,3000,3,4,3,4,2,3
sd300c,00001018,7,3000,3000,3000,3000,5,4,5,4,2,2
sd300c,00001018,8,3000,3000,3000,3000,3,1,3,1,2,0
sd300c,00001018,9,3000,3000,3000,3001,3,2,3,2,2,0
sd300c,00001018,10,3000,3000,2730,3000,6,4,6,4,2,2
sd300c,00001019,1,3000,3000,1672,3000,7,2,7,2,2,0
sd300c,00001019,2,3000,3000,1118,3000,2,11,2,11,0,6
sd300c,00001019,3,3000,3000,2282,3000,1,0,1,0,0,0
sd300c,00001019,4,3000,3000,767,3000,2,3,2,3,0,2
sd300c,00001019,6,3000,3000,2209,3001,5,4,5,4,2,3
sd300c,00001019,8,3000,3000,2570,3000,4,5,4,5,2,4
sd300c,00001019,9,3000,3000,1209,3000,3,2,3,2,2,0
sd300c,00001020,1,3000,3000,3000,3000,6,47,6,47,2,32
sd300c,00001020,2,3000,3000,3000,3000,8,15,8,15,2,10
sd300c,00001020,3,3000,3000,3000,3001,2,18,2,18,0,10
sd300c,00001020,4,3000,3000,3000,3000,4,12,4,12,2,9
sd300c,00001020,5,3000,3000,2726,3000,3,1,3,1,2,0
sd300c,00001020,6,3000,3000,3001,3000,9,31,9,31,2,19
sd300c,00001020,7,3000,3000,3000,3002,4,5,4,5,2,3
sd300c,00001020,8,3000,3000,3000,3000,8,27,8,27,2,13
sd300c,00001020,9,3000,3000,3000,3000,6,13,6,13,2,4
sd300c,00001020,10,3000,3000,2916,3000,5,4,5,4,2,2
sd300c,00001021,1,3000,3000,3000,3000,4,8,4,8,2,3
sd300c,00001021,2,3000,3000,2839,3000,2,8,2,8,0,4
sd300c,00001021,3,3000,3000,3000,3000,3,4,3,4,2,2
sd300c,00001021,4,3000,3000,2205,3000,2,2,2,2,0,0
sd300c,00001021,6,3000,3000,3000,3000,4,9,4,9,2,3
sd300c,00001021,7,3000,3000,1157,3001,3,8,3,8,2,3
sd300c,00001021,8,3000,3000,2926,3000,2,3,2,3,0,3
sd300c,00001021,9,3000,3000,2081,3000,0,5,0,5,0,5
sd300c,00001021,10,3000,3000,1342,3000,5,5,5,5,2,3
sd300c,00001022,1,3000,3000,3001,3000,2,9,2,9,0,6
sd300c,00001022,2,3000,3000,2919,3000,2,3,2,3,0,3
sd300c,00001022,3,3000,3000,3000,3000,4,1,4,1,2,0
sd300c,00001022,4,3000,3000,735,3001,3,1,3,1,2,0
sd300c,00001022,5,3000,3000,476,3000,1,0,1,0,0,0
sd300c,00001022,6,3000,3000,3000,3000,2,6,2,6,0,2
sd300c,00001022,7,3000,3000,1900,3001,4,2,4,2,2,0
sd300c,00001022,8,3000,3000,3000,3000,1,0,1,0,0,0
sd300c,00001022,9,3000,3000,1827,3000,2,0,2,0,0,0
sd300c,00001022,10,3000,3000,1059,3000,3,1,3,1,2,0
sd300c,00001023,1,3000,3000,3000,3000,3,2,3,2,2,0
sd300c,00001023,2,3000,3000,3000,3000,4,2,4,2,2,0
sd300c,00001023,3,3000,3000,3000,3000,2,4,2,4,0,2
sd300c,00001023,4,3000,3000,3000,3000,2,13,2,13,0,5
sd300c,00001023,5,3000,3000,3000,3000,3,0,3,0,2,0
sd300c,00001023,6,3000,3000,3000,3001,3,0,3,0,2,0
sd300c,00001023,7,3000,3000,3000,3001,5,5,5,5,2,3
sd300c,00001023,8,3000,3000,3000,3000,4,5,4,5,2,3
sd300c,00001023,9,3000,3000,3000,3000,0,3,0,3,0,2
sd300c,00001023,10,3000,3000,3000,3001,2,4,2,4,0,2
sd300c,00001024,1,3000,3000,3001,3000,4,11,4,11,2,5
sd300c,00001024,2,3000,3000,3000,3000,4,5,4,5,2,2
sd300c,00001024,3,3000,3000,3000,3000,4,5,4,5,2,2
sd300c,00001024,4,3000,3000,3000,3000,4,1,4,1,2,0
sd300c,00001024,5,3000,3000,2643,3000,2,1,2,1,0,0
sd300c,00001024,6,3000,3000,3000,3000,2,8,2,8,0,4
sd300c,00001024,7,3000,3000,2799,3000,4,7,4,7,2,2
sd300c,00001024,8,3000,3000,3000,3000,8,18,8,18,2,7
sd300c,00001024,9,3000,3000,2876,3000,7,20,7,20,2,9
sd300c,00001024,10,3000,3000,1553,3000,3,3,3,3,2,3
sd300c,00001025,1,3000,3000,3000,3000,12,34,12,34,3,12
sd300c,00001025,2,3000,3000,2623,3001,4,16,4,16,2,6
sd300c,00001025,3,3000,3000,3000,3000,5,17,5,17,2,8
sd300c,00001025,4,3000,3000,3001,3000,7,47,7,47,2,20
sd300c,00001025,5,3000,3000,3000,3000,2,41,2,41,0,13
sd300c,00001025,6,3000,3000,3000,3000,5,2,5,2,2,0
sd300c,00001025,7,3000,3000,3000,3000,2,37,2,37,0,18
sd300c,00001025,8,3000,3000,3000,3001,6,21,6,21,2,7
sd300c,00001025,9,3000,3000,3000,3001,3,26,3,26,2,7
sd300c,00001025,10,3000,3000,2911,3001,1,74,1,74,0,33
sd300c,00001026,1,3000,3000,3000,3000,5,4,5,4,2,2
sd300c,00001026,2,3000,3000,3000,3000,4,2,4,2,2,0
sd300c,00001026,3,3000,3000,3000,3000,7,11,7,11,2,6
sd300c,00001026,4,3000,3000,3000,3000,2,13,2,13,0,7
sd300c,00001026,5,3000,3000,3000,3000,4,4,4,4,2,2
sd300c,00001026,6,3000,3000,3000,3000,5,13,5,13,2,5
sd300c,00001026,7,3000,3000,3000,3000,4,7,4,7,2,3
sd300c,00001026,8,3000,3000,3000,3000,1,19,1,19,0,10
sd300c,00001026,9,3000,3000,3000,3000,4,10,4,10,2,3
sd300c,00001026,10,3000,3000,3000,3000,1,4,1,4,0,2
sd300c,00001027,1,3000,3000,3000,3000,5,38,5,38,2,15
sd300c,00001027,2,3000,3000,3000,3000,5,26,5,26,2,11
sd300c,00001027,3,3000,3000,3001,3001,8,14,8,14,2,5
sd300c,00001027,4,3000,3000,3000,3000,12,9,12,9,2,3
sd300c,00001027,5,3000,3000,3001,3001,2,8,2,8,0,4
sd300c,00001027,6,3000,3000,3000,3000,8,13,8,13,2,4
sd300c,00001027,7,3000,3000,3000,3000,4,13,4,13,2,5
sd300c,00001027,8,3000,3000,3000,3001,5,15,5,15,2,7
