dataset,class,metric,unit,available,source,notes,count,mean,median,p5,p25,p75,p95,zero_count,minimum,maximum
sd300b,plain_self,residual_reference_median,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.median,,500,3.0026001233930133e-15,0.0,0.0,0.0,0.0,1.4210854715202004e-14,459,0.0,2.2737367544323206e-13
sd300b,plain_self,residual_reference_p95,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.p95,,500,7.524659608130311e-15,0.0,0.0,0.0,0.0,5.684341886080802e-14,430,0.0,2.5421149729252077e-13
sd300b,plain_self,residual_reference_maximum,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.maximum,,500,8.822905610117854e-15,0.0,0.0,0.0,0.0,5.859285502108464e-14,430,0.0,2.5421149729252077e-13
sd300b,plain_self,residual_destination_mean,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.mean,,500,3.457225510177189e-15,0.0,0.0,0.0,0.0,1.59651514794831e-14,430,0.0,1.82015830096716e-13
sd300b,plain_self,residual_destination_median,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.median,,500,3.0026001233930133e-15,0.0,0.0,0.0,0.0,1.4210854715202004e-14,459,0.0,2.2737367544323206e-13
sd300b,plain_self,residual_destination_p95,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.p95,,500,7.524659608130311e-15,0.0,0.0,0.0,0.0,5.684341886080802e-14,430,0.0,2.5421149729252077e-13
sd300b,plain_self,residual_destination_maximum,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.maximum,,500,8.822905610117854e-15,0.0,0.0,0.0,0.0,5.859285502108464e-14,430,0.0,2.5421149729252077e-13
sd300b,plain_self,final_keypoints_scale_0_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,1856.468,1951.0,1054.0,1697.75,2098.25,2330.2,0,263.0,2594.0
sd300b,plain_self,pre_cap_proxy_scale_0_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,7160.8,5858.0,2880.35,4579.75,8215.0,16160.149999999996,0,1109.0,24028.0
sd300b,plain_self,final_keypoints_scale_1_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,353.638,310.5,175.8,255.75,393.0,679.6999999999994,0,94.0,1501.0
sd300b,plain_self,pre_cap_proxy_scale_1_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,4821.282,4031.0,2091.4,3232.75,5547.75,10162.249999999998,0,789.0,13685.0
sd300b,plain_self,final_keypoints_scale_2_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,512.788,483.0,273.0,407.0,585.0,839.2999999999997,0,176.0,1213.0
sd300b,plain_self,pre_cap_proxy_scale_2_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,2226.922,1921.5,985.3000000000001,1531.25,2551.5,4558.199999999997,0,361.0,5963.0
sd300b,plain_self,final_keypoints_scale_3_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,197.082,184.5,79.95,137.75,233.0,374.1999999999998,0,47.0,572.0
sd300b,plain_self,pre_cap_proxy_scale_3_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,1359.042,1186.0,606.7,942.75,1557.0,2747.3499999999995,0,243.0,3683.0
sd300b,plain_self,final_keypoints_scale_4_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,76.986,72.0,26.0,50.0,95.25,146.0,0,7.0,260.0
sd300b,plain_self,pre_cap_proxy_scale_4_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,739.68,647.0,339.8,521.0,840.0,1477.2499999999998,0,129.0,1946.0
sd300b,plain_self,final_keypoints_scale_0_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,1856.468,1951.0,1054.0,1697.75,2098.25,2330.2,0,263.0,2594.0
sd300b,plain_self,pre_cap_proxy_scale_0_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,7160.8,5858.0,2880.35,4579.75,8215.0,16160.149999999996,0,1109.0,24028.0
sd300b,plain_self,final_keypoints_scale_1_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,353.638,310.5,175.8,255.75,393.0,679.6999999999994,0,94.0,1501.0
sd300b,plain_self,pre_cap_proxy_scale_1_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,4821.282,4031.0,2091.4,3232.75,5547.75,10162.249999999998,0,789.0,13685.0
sd300b,plain_self,final_keypoints_scale_2_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,512.788,483.0,273.0,407.0,585.0,839.2999999999997,0,176.0,1213.0
sd300b,plain_self,pre_cap_proxy_scale_2_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,2226.922,1921.5,985.3000000000001,1531.25,2551.5,4558.199999999997,0,361.0,5963.0
sd300b,plain_self,final_keypoints_scale_3_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,197.082,184.5,79.95,137.75,233.0,374.1999999999998,0,47.0,572.0
sd300b,plain_self,pre_cap_proxy_scale_3_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,1359.042,1186.0,606.7,942.75,1557.0,2747.3499999999995,0,243.0,3683.0
sd300b,plain_self,final_keypoints_scale_4_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,76.986,72.0,26.0,50.0,95.25,146.0,0,7.0,260.0
sd300b,plain_self,pre_cap_proxy_scale_4_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,739.68,647.0,339.8,521.0,840.0,1477.2499999999998,0,129.0,1946.0
sd300b,plain_self,keypoint_size_distribution_a,native_pixels_per_keypoint,true,"all keypoints, derived from frozen scale indices and size mapping",,654438,4.017492624861686,4.000000000000001,2.8284271247461903,2.8284271247461903,4.000000000000001,8.000000000000002,0,2.8284271247461903,8.000000000000002
sd300b,plain_self,keypoint_size_distribution_b,native_pixels_per_keypoint,true,"all keypoints, derived from frozen scale indices and size mapping",,654438,4.017492624861686,4.000000000000001,2.8284271247461903,2.8284271247461903,4.000000000000001,8.000000000000002,0,2.8284271247461903,8.000000000000002
sd300b,plain_self,orientation_angle_distribution,degrees,false,not present in frozen diagnostics,Angles are covered by representation_sha256 but individual angle values/histograms were not serialized.,0,,,,,,,0,,
sd300b,roll_self,final_keypoints_a,keypoints,true,prepare_a_diagnostics.final_keypoint_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,final_keypoints_b,keypoints,true,prepare_b_diagnostics.final_keypoint_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,descriptor_count_a,descriptors,true,prepare_a_diagnostics.descriptor_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,descriptor_count_b,descriptors,true,prepare_b_diagnostics.descriptor_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,cap_active_a,boolean,true,derived from frozen cap diagnostics,,500,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0
sd300b,roll_self,cap_active_b,boolean,true,derived from frozen cap diagnostics,,500,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0
sd300b,roll_self,cap_active_count,representations_per_pair,true,sum of side flags,,500,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0
sd300b,roll_self,candidates_before_cap_a,candidates,true,prepare_a_diagnostics.candidates_after_duplicate_removal,,500,36882.964,36783.0,26979.65,32752.5,41020.0,46945.39999999999,0,20060.0,57786.0
sd300b,roll_self,candidates_before_cap_b,candidates,true,prepare_b_diagnostics.candidates_after_duplicate_removal,,500,36882.964,36783.0,26979.65,32752.5,41020.0,46945.39999999999,0,20060.0,57786.0
sd300b,roll_self,candidate_to_final_ratio_a,ratio,true,candidates_before_cap/final,,500,12.294321333333333,12.261,8.993216666666667,10.9175,13.673333333333334,15.648466666666662,0,6.6866666666666665,19.262
sd300b,roll_self,candidate_to_final_ratio_b,ratio,true,candidates_before_cap/final,,500,12.294321333333333,12.261,8.993216666666667,10.9175,13.673333333333334,15.648466666666662,0,6.6866666666666665,19.262
sd300b,roll_self,median_keypoint_size_a,native_pixels,true,derived from scale index and frozen mapping,,500,3.835979797464467,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,roll_self,median_keypoint_size_b,native_pixels,true,derived from scale index and frozen mapping,,500,3.835979797464467,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,roll_self,orientation_count_a,orientations,true,prepare_a_diagnostics.orientation_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,orientation_count_b,orientations,true,prepare_b_diagnostics.orientation_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,orientation_sample_count_min_a,samples,true,aggregate orientation diagnostic,,500,58.746,57.0,53.0,56.0,60.0,74.0,0,34.0,96.0
sd300b,roll_self,orientation_sample_count_min_b,samples,true,aggregate orientation diagnostic,,500,58.746,57.0,53.0,56.0,60.0,74.0,0,34.0,96.0
sd300b,roll_self,orientation_sample_count_max_a,samples,true,aggregate orientation diagnostic,,500,1021.758,1022.0,1019.0,1021.0,1023.0,1024.0,0,1015.0,1025.0
sd300b,roll_self,orientation_sample_count_max_b,samples,true,aggregate orientation diagnostic,,500,1021.758,1022.0,1019.0,1021.0,1023.0,1024.0,0,1015.0,1025.0
sd300b,roll_self,knn_candidates_a_to_b,matches,true,compare_diagnostics.raw_knn_count_a_to_b,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,knn_candidates_b_to_a,matches,true,compare_diagnostics.raw_knn_count_b_to_a,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,lowe_passed_a_to_b,matches,true,compare_diagnostics.ratio_match_count_a_to_b,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
