condition,dataset,role,protocol,reference_kind,reference_pairs_path,reference_pairs_sha256,reference_metadata_path,reference_metadata_sha256,pilot_pair_count,expected_overlap_count,actual_overlap_count,unreferenced_count,raw_score_equal_count,status_equal_count,error_code_equal_count,prepare_a_diagnostics_equal_count,prepare_b_diagnostics_equal_count,compare_diagnostics_equal_count,combined_exact_count,mismatch_count,max_raw_score_abs_delta,pass,raw_score_abs_tolerance,timing_equality_required
sd300b/plain_self,sd300b,self,plain_self,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300b\plain_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,04617faa21b50618f216555c277f355bc82d635b3e77fbe9e93250cfe39d719e,C:\fingerprint-recognition-research\results\sd300b\plain_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,1a5da2db4912e188827a3d64009b21ab6507d95bd9211b5793fd1dcb8384c551,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300b/roll_self,sd300b,self,roll_self,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300b\roll_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,85dc00450f38ea03ab5e5f546f25452ef1ca8192916632a514560463e8db34f2,C:\fingerprint-recognition-research\results\sd300b\roll_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,41e6701f2bd70e2a48cbe386cad768512595be36c65475c377bad7a067f35b60,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300b/plain_roll_genuine,sd300b,genuine,plain_roll,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300b\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,75b4a19c7d428b0f67611d31e5992d0b06ef0806ab2fd2227d0ee7bfea09ed5e,C:\fingerprint-recognition-research\results\sd300b\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,4c274128f50c01859e1bfeeddbc972207c36f004eedda6ea9bb9a03857eeb606,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300c/plain_self,sd300c,self,plain_self,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300c\plain_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,86572cfdcc23946fb566319d898e8c847610b3d49b10585be8db41d0d257fd81,C:\fingerprint-recognition-research\results\sd300c\plain_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,3b25aa69afee84831112a5c09d64e820daec4a0901aa62907946af334265aad6,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300c/roll_self,sd300c,self,roll_self,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300c\roll_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,16f3bf3f6eec85d5c1ce7dcd9419afdf5034a07e112abc120d4dcef61bd7ec84,C:\fingerprint-recognition-research\results\sd300c\roll_self\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,1dfaf6e799ac7acc0c7d31d10ec1f864080d84dfda6c772bf0de6c86fc7c35e9,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300c/plain_roll_genuine,sd300c,genuine,plain_roll,canonical_primary_v2,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,ddda33b16362465fe17de45e5dde3130da958538db3b15a1495c7720d0fb71f5,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,f6e4b3eed6ef8bd1a8975f422745675bb885b84327a3cc68e5bccfadbe4baff7,500,500,500,0,500,500,500,500,500,500,500,0,0.0,true,0.0,false
sd300b/plain_roll_negative,sd300b,negative,plain_roll_next_subject_impostor,current_provenance_derived_negative,C:\fingerprint-recognition-research\results\derived_protocol_runs\sourceafis_per_dataset_self_accept_t40_v1\negative_next_subject\sd300b\plain_roll_next_subject_impostor\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,8845df32389fd7d7a450fac534c5bb4b1f73ec0fe9a65d2c19fbff35fdb4fa6f,C:\fingerprint-recognition-research\results\derived_protocol_runs\sourceafis_per_dataset_self_accept_t40_v1\negative_next_subject\sd300b\plain_roll_next_subject_impostor\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,a3b11ac10209c8c9927c17921ea5cc825094b7512362c482e426d54ee700126c,500,489,489,11,489,489,489,489,489,489,489,0,0.0,true,0.0,false
sd300c/plain_roll_negative,sd300c,negative,plain_roll_next_subject_impostor,current_provenance_derived_negative,C:\fingerprint-recognition-research\results\derived_protocol_runs\sourceafis_per_dataset_self_accept_t40_v1\negative_next_subject\sd300c\plain_roll_next_subject_impostor\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\pairs.csv,80ddb3053a7a820c799b2e5689011a85b1703db6b8fcd8f44694bd26a5863d58,C:\fingerprint-recognition-research\results\derived_protocol_runs\sourceafis_per_dataset_self_accept_t40_v1\negative_next_subject\sd300c\plain_roll_next_subject_impostor\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3\run_metadata.json,b673a6ea259f29a8a734f51c7d6e2a813b05c7e18007235d0e5858943b5d0ab9,500,489,489,11,489,489,489,489,489,489,489,0,0.0,true,0.0,false
