dataset,protocol,pair_id,subject_id,canonical_finger_position,strata,primary_status,rerun_status,status_equal,primary_error_code,rerun_error_code,error_code_equal,primary_raw_score,rerun_raw_score,raw_score_text_equal,raw_score_abs_delta,raw_score_within_tolerance,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,primary_method_compare_ms,rerun_method_compare_ms,primary_compare_ms,rerun_compare_ms,primary_total_ms,rerun_total_ms,reproducible
sd300b,plain_self,sd300b_plain_self_00001059_01,00001059,1,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.1044,0.306,0.5272,1.0609,172.5981,177.877,true
sd300b,plain_self,sd300b_plain_self_00001059_06,00001059,6,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0374,0.188,0.4877,0.9263,172.8177,172.9234,true
sd300b,plain_self,sd300b_plain_self_00001061_05,00001061,5,deterministic_positive_sample,ok,ok,true,,,true,431.81331450349893,431.81331450349893,true,0.0,true,true,true,true,2.7985,3.2775,3.4004,4.094,118.0451,124.8823,true
sd300b,plain_self,sd300b_plain_self_00001063_04,00001063,4,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0354,0.1769,0.4789,0.9843,108.452,106.0864,true
sd300b,plain_self,sd300b_plain_self_00001063_05,00001063,5,low_positive_both_resolutions,ok,ok,true,,,true,23.165117663467225,23.165117663467225,true,0.0,true,true,true,true,0.0709,0.3899,0.5236,1.2778,106.0105,108.0508,true
sd300b,plain_self,sd300b_plain_self_00001063_08,00001063,8,low_positive_both_resolutions,ok,ok,true,,,true,69.50512088332607,69.50512088332607,true,0.0,true,true,true,true,0.1816,0.3673,0.5586,1.0592,109.5481,104.6959,true
sd300b,plain_self,sd300b_plain_self_00001063_09,00001063,9,low_positive_both_resolutions,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.047,0.1702,0.5023,0.9882,86.3851,90.3295,true
sd300b,plain_self,sd300b_plain_self_00001063_10,00001063,10,self_zero_sd300c_only,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0466,0.2497,0.4892,1.0846,83.1461,82.1181,true
sd300b,plain_self,sd300b_plain_self_00001065_04,00001065,4,deterministic_positive_sample,ok,ok,true,,,true,501.7640037702798,501.7640037702798,true,0.0,true,true,true,true,3.2037,4.2281,3.663,5.1338,123.4347,126.2179,true
sd300b,plain_self,sd300b_plain_self_00001067_08,00001067,8,deterministic_positive_sample,ok,ok,true,,,true,431.81331450349893,431.81331450349893,true,0.0,true,true,true,true,2.606,2.6519,3.2018,3.4079,138.5598,139.3221,true
sd300b,plain_self,sd300b_plain_self_00001073_08,00001073,8,deterministic_positive_sample,ok,ok,true,,,true,991.4188257435281,991.4188257435281,true,0.0,true,true,true,true,10.5978,10.7111,11.1739,11.6571,171.2174,170.0828,true
sd300b,plain_self,sd300b_plain_self_00001077_06,00001077,6,deterministic_positive_sample,ok,ok,true,,,true,1012.0006970262625,1012.0006970262625,true,0.0,true,true,true,true,16.3726,17.6971,16.9548,18.7273,305.0781,312.7417,true
sd300b,plain_self,sd300b_plain_self_00001081_07,00001081,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0326,0.1894,0.4613,0.8667,99.2841,100.9781,true
sd300b,plain_self,sd300b_plain_self_00001082_02,00001082,2,deterministic_positive_sample,ok,ok,true,,,true,338.5457296586046,338.5457296586046,true,0.0,true,true,true,true,1.6075,1.7786,2.0374,2.6696,124.3684,123.3723,true
sd300b,plain_self,sd300b_plain_self_00001084_10,00001084,10,deterministic_positive_sample,ok,ok,true,,,true,501.7640037702798,501.7640037702798,true,0.0,true,true,true,true,3.4906,3.6237,3.9471,4.345,132.8279,130.4319,true
sd300b,plain_self,sd300b_plain_self_00001085_09,00001085,9,self_zero_sd300c_only,ok,ok,true,,,true,106.65812994866988,106.65812994866988,true,0.0,true,true,true,true,0.2599,0.3841,0.6547,1.0817,77.9418,78.6422,true
sd300b,plain_self,sd300b_plain_self_00001085_10,00001085,10,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.142,0.256,0.6586,0.9284,49.955,50.8121,true
sd300b,plain_self,sd300b_plain_self_00001089_03,00001089,3,deterministic_positive_sample,ok,ok,true,,,true,291.9119366934916,291.9119366934916,true,0.0,true,true,true,true,1.2985,1.4501,1.7731,2.2131,78.0088,79.5077,true
sd300b,plain_self,sd300b_plain_self_00001096_07,00001096,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0323,0.1154,0.4459,1.0981,56.8069,57.8976,true
sd300b,plain_self,sd300b_plain_self_00001096_10,00001096,10,low_positive_both_resolutions,ok,ok,true,,,true,54.38764445112881,54.38764445112881,true,0.0,true,true,true,true,0.1212,0.2453,0.5201,0.9799,67.1324,68.7004,true
sd300b,plain_self,sd300b_plain_self_00001099_10,00001099,10,low_positive_both_resolutions,ok,ok,true,,,true,163.6690077578728,163.6690077578728,true,0.0,true,true,true,true,0.4622,0.5584,0.9518,1.1251,36.5627,37.9403,true
sd300b,plain_self,sd300b_plain_self_00001100_02,00001100,2,self_zero_sd300b_only,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0339,0.1557,0.4519,1.0003,96.6224,116.6758,true
sd300b,plain_self,sd300b_plain_self_00001103_09,00001103,9,deterministic_positive_sample,ok,ok,true,,,true,501.7640037702798,501.7640037702798,true,0.0,true,true,true,true,3.3652,3.4407,3.806,4.1053,107.3951,106.9328,true
sd300b,plain_self,sd300b_plain_self_00001111_02,00001111,2,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0332,0.1331,0.3815,0.883,67.7464,67.5966,true
sd300b,plain_self,sd300b_plain_self_00001111_03,00001111,3,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.038,0.2551,0.4625,1.0328,77.3692,76.1621,true
sd300b,plain_self,sd300b_plain_self_00001111_04,00001111,4,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0352,0.1263,0.4008,0.7623,76.9819,74.5046,true
sd300b,plain_self,sd300b_plain_self_00001111_05,00001111,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0383,0.1317,0.4147,0.7822,58.4163,58.9942,true
sd300b,plain_self,sd300b_plain_self_00001111_06,00001111,6,self_zero_sd300c_only,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0417,0.1505,0.4318,0.7867,201.2014,195.1125,true
sd300b,plain_self,sd300b_plain_self_00001111_07,00001111,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0318,0.1321,0.4296,0.7761,89.078,89.3005,true
sd300b,plain_self,sd300b_plain_self_00001111_08,00001111,8,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0451,0.1074,0.4222,0.7365,76.87,77.5786,true
sd300b,plain_self,sd300b_plain_self_00001111_09,00001111,9,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0351,0.1129,0.4229,0.77,77.2414,77.7626,true
sd300b,plain_self,sd300b_plain_self_00001111_10,00001111,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0336,0.1877,0.4463,0.9018,64.1172,63.5479,true
sd300b,plain_self,sd300b_plain_self_00001115_10,00001115,10,deterministic_positive_sample,ok,ok,true,,,true,315.2288333569368,315.2288333569368,true,0.0,true,true,true,true,1.5386,1.6014,2.0329,2.2368,104.9024,99.1521,true
sd300b,plain_self,sd300b_plain_self_00001119_10,00001119,10,low_positive_both_resolutions,ok,ok,true,,,true,31.89454412241004,31.89454412241004,true,0.0,true,true,true,true,0.0636,0.2439,0.4758,0.935,51.5248,51.6693,true
sd300b,plain_self,sd300b_plain_self_00001123_10,00001123,10,deterministic_positive_sample,ok,ok,true,,,true,175.32745590870678,175.32745590870678,true,0.0,true,true,true,true,0.4757,0.666,0.9019,1.3066,62.0803,64.0787,true
sd300b,plain_self,sd300b_plain_self_00001124_04,00001124,4,deterministic_positive_sample,ok,ok,true,,,true,664.9822775201776,664.9822775201776,true,0.0,true,true,true,true,5.5956,5.1937,6.09,5.8644,120.5266,119.0449,true
sd300b,plain_self,sd300b_plain_self_00001125_03,00001125,3,deterministic_positive_sample,ok,ok,true,,,true,769.9083108776832,769.9083108776832,true,0.0,true,true,true,true,8.232,6.7936,8.7878,7.4987,160.9205,153.6273,true
sd300b,plain_self,sd300b_plain_self_00001132_01,00001132,1,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0375,0.1255,0.4551,0.7746,196.2223,178.738,true
sd300b,plain_self,sd300b_plain_self_00001132_03,00001132,3,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0329,0.1018,0.4193,0.8266,57.9045,57.5488,true
sd300b,plain_self,sd300b_plain_self_00001132_04,00001132,4,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0377,0.1131,0.4479,0.7496,56.7965,57.3875,true
sd300b,plain_self,sd300b_plain_self_00001132_05,00001132,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.035,2.232,0.4247,2.8928,46.0129,52.6293,true
sd300b,plain_self,sd300b_plain_self_00001132_06,00001132,6,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0916,0.1515,0.5117,0.7693,173.4974,170.2535,true
sd300b,plain_self,sd300b_plain_self_00001132_07,00001132,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0696,0.095,0.4665,0.6901,63.5063,57.9678,true
sd300b,plain_self,sd300b_plain_self_00001132_08,00001132,8,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0367,0.0903,0.4391,0.7139,59.6829,59.7665,true
sd300b,plain_self,sd300b_plain_self_00001132_09,00001132,9,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.039,0.091,0.4118,0.7734,63.014,61.8285,true
sd300b,plain_self,sd300b_plain_self_00001132_10,00001132,10,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.1059,0.1757,0.5318,0.7656,35.5145,33.6359,true
sd300b,plain_self,sd300b_plain_self_00001134_02,00001134,2,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0382,0.0916,0.4393,0.654,81.3698,82.965,true
sd300b,plain_self,sd300b_plain_self_00001134_04,00001134,4,low_positive_both_resolutions,ok,ok,true,,,true,23.165117663467225,23.165117663467225,true,0.0,true,true,true,true,0.0516,0.1426,0.4982,0.751,81.2314,82.0075,true
sd300b,plain_self,sd300b_plain_self_00001134_05,00001134,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0356,0.099,0.4367,0.7539,69.4091,68.599,true
sd300b,plain_self,sd300b_plain_self_00001137_10,00001137,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0305,0.0895,0.4418,0.6849,41.1743,41.4006,true
sd300b,plain_self,sd300b_plain_self_00001141_06,00001141,6,self_zero_sd300c_only,ok,ok,true,,,true,1177.9539965186484,1177.9539965186484,true,0.0,true,true,true,true,13.7363,13.9208,14.3502,14.7025,276.1206,291.9492,true
sd300b,plain_self,sd300b_plain_self_00001153_07,00001153,7,deterministic_positive_sample,ok,ok,true,,,true,630.006933067676,630.006933067676,true,0.0,true,true,true,true,4.7137,4.7994,5.1975,5.4319,103.8588,103.1343,true
sd300b,plain_self,sd300b_plain_self_00001167_10,00001167,10,self_zero_sd300b_only,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0548,0.127,0.48,0.8011,77.1884,75.1384,true
sd300b,plain_self,sd300b_plain_self_00001175_10,00001175,10,low_positive_both_resolutions,ok,ok,true,,,true,31.89454412241004,31.89454412241004,true,0.0,true,true,true,true,0.0726,0.2074,0.5194,0.887,83.9863,83.8106,true
sd300b,plain_self,sd300b_plain_self_00001176_02,00001176,2,deterministic_positive_sample,ok,ok,true,,,true,408.496418201831,408.496418201831,true,0.0,true,true,true,true,2.4527,2.5972,2.8592,3.2389,137.0596,131.7982,true
sd300b,plain_self,sd300b_plain_self_00001179_05,00001179,5,low_positive_both_resolutions,ok,ok,true,,,true,31.89454412241004,31.89454412241004,true,0.0,true,true,true,true,0.0764,0.2824,0.588,0.9676,67.2739,89.1858,true
sd300b,plain_self,sd300b_plain_self_00001179_07,00001179,7,deterministic_positive_sample,ok,ok,true,,,true,816.5421034810189,816.5421034810189,true,0.0,true,true,true,true,10.4561,8.4297,10.9797,9.1636,150.4896,145.46,true
sd300b,plain_self,sd300b_plain_self_00001179_10,00001179,10,self_zero_sd300b_only,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0282,0.0994,0.4755,0.7813,38.9473,38.5699,true
sd300b,plain_self,sd300b_plain_self_00001182_05,00001182,5,low_positive_both_resolutions,ok,ok,true,,,true,69.50512088332607,69.50512088332607,true,0.0,true,true,true,true,0.148,0.275,0.5402,1.1286,70.7688,70.3613,true
sd300b,plain_self,sd300b_plain_self_00001183_05,00001183,5,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.0845,0.1945,0.4923,0.8627,100.2076,90.9207,true
sd300b,plain_self,sd300b_plain_self_00001183_09,00001183,9,low_positive_both_resolutions,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0378,0.1379,0.4272,0.8137,63.9813,64.5661,true
sd300b,plain_self,sd300b_plain_self_00001183_10,00001183,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0285,0.1003,0.4371,0.8327,73.2722,74.3536,true
