dataset,threshold,total_wrong_pairs,status_ok,failures,false_matches,correct_non_matches,false_match_percentage,correct_non_match_percentage,score_zero,positive_below_threshold,mean_score,median_score,min_score,max_score,mean_method_compare_ms,median_method_compare_ms,p95_method_compare_ms,mean_total_ms,median_total_ms,p95_total_ms
sd300b,40.0,8593,8593,0,9,8584,0.10473641335971139,99.89526358664028,2702,5882,2.0601106347567812,0.8293105769943276,0.0,251.13082109163983,3.146589735831491,2.2488,7.892,198.79608611660652,190.0571,280.3167
sd300c,40.0,8614,8614,0,10,8604,0.11609008590666357,99.88390991409334,2708,5896,2.078215447876938,0.8335150812316428,0.0,195.28257500049392,3.116608532621314,2.31325,7.6764,402.84213999303455,388.6251,534.5923
