pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_self_00001002_02,sd300c,plain_self,00001002,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,280.253489,149.851,147.7542,1.6783,299.2973,ok,,
sd300c_plain_self_00001002_03,sd300c,plain_self,00001002,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,571.714692,135.4158,133.0042,4.6954,273.1298,ok,,
sd300c_plain_self_00001002_04,sd300c,plain_self,00001002,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,198.644352,103.4817,98.2458,0.9833,202.7234,ok,,
sd300c_plain_self_00001002_05,sd300c,plain_self,00001002,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,315.228833,119.5937,121.7395,1.9303,243.2764,ok,,
sd300c_plain_self_00001002_06,sd300c,plain_self,00001002,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,641.665381,289.4066,285.0261,6.0173,580.4636,ok,,
sd300c_plain_self_00001002_07,sd300c,plain_self,00001002,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,478.447107,152.5904,153.176,3.632,309.4132,ok,,
sd300c_plain_self_00001002_08,sd300c,plain_self,00001002,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,490.105555,150.2481,148.6129,3.7207,302.5977,ok,,
sd300c_plain_self_00001002_09,sd300c,plain_self,00001002,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,501.764004,137.975,133.4751,3.9414,275.4045,ok,,
sd300c_plain_self_00001002_10,sd300c,plain_self,00001002,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,408.496418,137.2875,135.3918,3.0145,275.7084,ok,,
sd300c_plain_self_00001003_01,sd300c,plain_self,00001003,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,898.151241,232.1333,227.2941,9.9076,469.3503,ok,,
sd300c_plain_self_00001003_02,sd300c,plain_self,00001003,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,338.54573,97.7929,89.7115,2.0574,189.5762,ok,,
sd300c_plain_self_00001003_03,sd300c,plain_self,00001003,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,664.982278,133.3093,107.7267,5.9047,246.9556,ok,,
sd300c_plain_self_00001003_04,sd300c,plain_self,00001003,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,583.37314,96.9927,111.0057,4.7799,212.791,ok,,
sd300c_plain_self_00001003_05,sd300c,plain_self,00001003,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,606.690037,104.5211,104.0583,5.1082,213.7029,ok,,
