cohort_name,cohort_description,dataset,protocol,base_identity_count,included_identity_count,excluded_identity_count,distinct_subject_count,filtered_row_count,zero_score_count,mean_raw_score,median_raw_score,mean_method_compare_ms,source_result_path,source_result_sha256,manifest_path,manifest_sha256,filtered_output_path,filtered_output_sha256
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300b,plain_self,8779,8651,128,887,8651,0,659.865996284323,618.348484916842,6.487337810658,results/sd300b/plain_self/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,04617faa21b50618f216555c277f355bc82d635b3e77fbe9e93250cfe39d719e,protocols/sd300b/plain_self.csv,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,results/cohorts/sourceafis_joint_self_positive_v1/sd300b/plain_self/pairs.csv,6b4e18b46c7b62bbbc5e7a1de4a2f884e032b3322c83115706b9431212fcfbf0
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300b,roll_self,8779,8651,128,887,8651,0,1141.735161038015,1177.953996518648,16.469185370362,results/sd300b/roll_self/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,85dc00450f38ea03ab5e5f546f25452ef1ca8192916632a514560463e8db34f2,protocols/sd300b/roll_self.csv,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,results/cohorts/sourceafis_joint_self_positive_v1/sd300b/roll_self/pairs.csv,7a2e9a50dc7374f6c3fb97267629f6e445f00d986c69b418bbe088f0d1419a67
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300b,plain_roll,8779,8651,128,887,8651,640,83.031863156383,71.877014389524,5.43669027858,results/sd300b/plain_roll/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,75b4a19c7d428b0f67611d31e5992d0b06ef0806ab2fd2227d0ee7bfea09ed5e,protocols/sd300b/plain_roll.csv,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,results/cohorts/sourceafis_joint_self_positive_v1/sd300b/plain_roll/pairs.csv,f27fcdc3c30224aca779f1bbe97e3afbddaeb95aaad8156503b0bc615f702c32
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300c,plain_self,8779,8651,128,887,8651,0,658.842472750054,618.348484916842,6.142387400301,results/sd300c/plain_self/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,86572cfdcc23946fb566319d898e8c847610b3d49b10585be8db41d0d257fd81,protocols/sd300c/plain_self.csv,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,results/cohorts/sourceafis_joint_self_positive_v1/sd300c/plain_self/pairs.csv,0b8645b045b39e9fae119419c626c20f5a589814d665ecc2f4c5006ad183bee2
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300c,roll_self,8779,8651,128,887,8651,0,1143.437935313477,1177.953996518648,14.838875562363,results/sd300c/roll_self/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,16f3bf3f6eec85d5c1ce7dcd9419afdf5034a07e112abc120d4dcef61bd7ec84,protocols/sd300c/roll_self.csv,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,results/cohorts/sourceafis_joint_self_positive_v1/sd300c/roll_self/pairs.csv,7f6f53aa4949d29d0e3c9976e21068f59a42c13083871f19c63d12e77f0ad19c
sourceafis_joint_self_positive_v1,SourceAFIS-selected joint self-positive cohort,sd300c,plain_roll,8779,8651,128,887,8651,641,81.220103303334,69.874512869599,5.498614044619,results/sd300c/plain_roll/sourceafis/pairwise-benchmark-v2/cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3/pairs.csv,ddda33b16362465fe17de45e5dde3130da958538db3b15a1495c7720d0fb71f5,protocols/sd300c/plain_roll.csv,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,results/cohorts/sourceafis_joint_self_positive_v1/sd300c/plain_roll/pairs.csv,4acb818b93c17faf1f6c825a4190a168fd47f769a3e2ea58470953c661a1e127
