method,target_far,threshold,sd300b_tar,sd300b_far,sd300c_tar,sd300c_far,sd300b_fnmr,sd300c_fnmr,sd300b_genuine_failures,sd300b_impostor_failures,sd300c_genuine_failures,sd300c_impostor_failures
sourceafis,0.01,14.608641525076788,0.7702702702702703,0.00948852077884336,0.7673641383318802,0.00880557977332171,0.22972972972972974,0.23263586166811973,0,0,0,0
sourceafis,0.001,24.93003517749199,0.7240627724498693,0.0008718395815170009,0.7255158384190642,0.0007120023249055507,0.2759372275501308,0.27448416158093575,0,0,0,0
sift_geometric,0.01,5,0.38264787094899,0.011887807004795815,0.3687881429816914,0.011769834350479512,0.61735212905101,0.6312118570183086,1,10,0,0
sift_geometric,0.001,14,0.1041999709344572,0.0014387443685510827,0.0945945945945946,0.0013077593722755014,0.8958000290655428,0.9054054054054054,1,10,0,0
