dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id,reason_flags
sd300c,00001653,3,ok,466.7886589560007,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001653,7,ok,525.0809000719476,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001653,8,ok,676.6407256710116,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001667,10,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001667_10,plain_self_below_40
sd300c,00001675,5,,,ok,781.5667590285171,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001678,5,ok,0.0,ok,920.9797394491118,sd300c_plain_roll_00001678_05,plain_self_below_40
sd300c,00001686,5,ok,16.586865026205977,ok,688.2991738218456,sd300c_plain_roll_00001686_05,plain_self_below_40
sd300c,00001686,8,ok,23.165117663467225,ok,1166.1001890502716,sd300c_plain_roll_00001686_08,plain_self_below_40
sd300c,00001686,10,ok,0.0,ok,513.4224519211136,sd300c_plain_roll_00001686_10,plain_self_below_40
sd300c,00001692,5,ok,536.7393482227816,ok,23.165117663467225,sd300c_plain_roll_00001692_05,roll_self_below_40
sd300c,00001715,10,ok,31.89454412241004,ok,1166.1001890502716,sd300c_plain_roll_00001715_10,plain_self_below_40
sd300c,00001724,5,ok,0.0,ok,1166.1001890502716,sd300c_plain_roll_00001724_05,plain_self_below_40
sd300c,00001724,9,ok,31.89454412241004,ok,1166.1001890502716,sd300c_plain_roll_00001724_09,plain_self_below_40
sd300c,00001725,7,ok,175.32745590870678,ok,31.89454412241004,sd300c_plain_roll_00001725_07,roll_self_below_40
sd300c,00001725,8,ok,0.0,ok,198.64435184859735,sd300c_plain_roll_00001725_08,plain_self_below_40
sd300c,00001725,9,ok,0.0,ok,198.64435184859735,sd300c_plain_roll_00001725_09,plain_self_below_40
sd300c,00001725,10,ok,0.0,ok,31.89454412241004,sd300c_plain_roll_00001725_10,plain_self_below_40;roll_self_below_40
sd300c,00001732,2,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001732_02,plain_self_below_40
sd300c,00001738,1,ok,0.0,ok,69.50512088332607,sd300c_plain_roll_00001738_01,plain_self_below_40
sd300c,00001738,2,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_02,plain_self_below_40;roll_self_below_40
sd300c,00001738,3,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_03,plain_self_below_40;roll_self_below_40
sd300c,00001738,4,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_04,plain_self_below_40;roll_self_below_40
sd300c,00001738,5,,,ok,233.61969630109917,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001738,6,ok,0.0,ok,16.586865026205977,sd300c_plain_roll_00001738_06,plain_self_below_40;roll_self_below_40
sd300c,00001738,7,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_07,plain_self_below_40;roll_self_below_40
sd300c,00001738,8,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_08,plain_self_below_40;roll_self_below_40
sd300c,00001738,9,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_09,plain_self_below_40;roll_self_below_40
sd300c,00001738,10,ok,0.0,ok,0.0,sd300c_plain_roll_00001738_10,plain_self_below_40;roll_self_below_40
sd300c,00001743,5,,,ok,1107.797666607576,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001751,2,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001751_02,plain_self_below_40
sd300c,00001751,9,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001751_09,plain_self_below_40
sd300c,00001759,2,,,ok,455.1302108051667,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001760,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001762,5,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001762_05,plain_self_below_40
sd300c,00001762,9,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001762_09,plain_self_below_40
sd300c,00001774,8,,,ok,909.3151090528422,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001775,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001775,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001776,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001776,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001780,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001798,2,,,ok,571.7146919517289,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001798,3,,,ok,383.50501656503417,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001819,5,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001819_05,plain_self_below_40
sd300c,00001834,2,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001834_02,plain_self_below_40
sd300c,00001834,5,ok,16.586865026205977,ok,1154.2463823054504,sd300c_plain_roll_00001834_05,plain_self_below_40
sd300c,00001834,10,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001834_10,plain_self_below_40
sd300c,00001841,9,,,ok,186.98590369776346,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001847,10,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001847_10,plain_self_below_40
sd300c,00001862,3,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001862,8,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001873,1,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001873_01,plain_self_below_40
sd300c,00001886,7,ok,525.0809000719476,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001886,8,ok,769.9083108776832,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001887,10,ok,0.0,ok,408.496418201831,sd300c_plain_roll_00001887_10,plain_self_below_40
