dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status,reason_flags
sd300b,00001623,4,,sd300b_roll_self_00001623_04,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001623,7,,sd300b_roll_self_00001623_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001623,8,,sd300b_roll_self_00001623_08,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001623,9,,sd300b_roll_self_00001623_09,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001652,7,,sd300b_roll_self_00001652_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001653,2,sd300b_plain_self_00001653_02,,,accepted,,ok,,3001.0,,3001,3001,3001,3001,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300b,00001653,3,sd300b_plain_self_00001653_03,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300b,00001653,7,sd300b_plain_self_00001653_07,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300b,00001653,8,sd300b_plain_self_00001653_08,,,accepted,,ok,,3001.0,,3001,3001,3001,3001,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300b,00001675,5,,sd300b_roll_self_00001675_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001738,2,sd300b_plain_self_00001738_02,sd300b_roll_self_00001738_02,sd300b_plain_roll_00001738_02,rejected,accepted,prepare_a_failure,ok,,304.0,,,,,,,304,304,304,304,1.0,success,plain_self_non_ok
sd300b,00001738,5,,sd300b_roll_self_00001738_05,,,accepted,,ok,,199.0,,,,,,,199,199,199,199,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001743,5,,sd300b_roll_self_00001743_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001759,2,,sd300b_roll_self_00001759_02,,,accepted,,ok,,2794.0,,,,,,,2794,2794,2794,2794,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001760,5,,sd300b_roll_self_00001760_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001774,8,,sd300b_roll_self_00001774_08,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001775,1,,sd300b_roll_self_00001775_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001775,6,,sd300b_roll_self_00001775_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001776,1,,sd300b_roll_self_00001776_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001776,6,,sd300b_roll_self_00001776_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001780,5,,sd300b_roll_self_00001780_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001798,2,,sd300b_roll_self_00001798_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001798,3,,sd300b_roll_self_00001798_03,,,accepted,,ok,,2704.0,,,,,,,2704,2704,2704,2704,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001841,9,,sd300b_roll_self_00001841_09,,,accepted,,ok,,2391.0,,,,,,,2391,2391,2391,2391,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001862,3,,sd300b_roll_self_00001862_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001862,8,,sd300b_roll_self_00001862_08,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001886,7,sd300b_plain_self_00001886_07,,,accepted,,ok,,2719.0,,2719,2719,2719,2719,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300b,00001886,8,sd300b_plain_self_00001886_08,,,accepted,,ok,,1956.0,,1956,1956,1956,1956,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
